NIBRS Code Name,Longitude,Latitude
All Other Larceny,-84.472797,33.617926
Destruction/Damage/Vandalism of Property,-84.425945,33.624279
False Pretenses/Swindle/Confidence Game,-84.430256,33.625037
Impersonation,-84.430256,33.625037
Impersonation,-84.430256,33.625037
False Pretenses/Swindle/Confidence Game,-84.430256,33.625037
Destruction/Damage/Vandalism of Property,-84.430256,33.625037
Motor Vehicle Theft,-84.430957,33.62527
Destruction/Damage/Vandalism of Property,-84.431495,33.625566
All Other Larceny,-84.426641,33.626171
Simple Assault,-84.426641,33.626171
Destruction/Damage/Vandalism of Property,-84.426641,33.626171
Theft From Building,-84.43909218,33.62678361
Motor Vehicle Theft,-84.438528,33.627176
Motor Vehicle Theft,-84.449583,33.627704
Motor Vehicle Theft,-84.449583,33.627704
Motor Vehicle Theft,-84.449583,33.627704
Destruction/Damage/Vandalism of Property,-84.42671,33.627736
False Pretenses/Swindle/Confidence Game,-84.463382,33.627836
Destruction/Damage/Vandalism of Property,-84.42202,33.628009
Destruction/Damage/Vandalism of Property,-84.42202,33.628009
Destruction/Damage/Vandalism of Property,-84.42202,33.628009
Destruction/Damage/Vandalism of Property,-84.42202,33.628009
Destruction/Damage/Vandalism of Property,-84.42202,33.628009
All Other Larceny,-84.413615,33.628454
Theft From Building,-84.431012,33.628549
Motor Vehicle Theft,-84.43995252,33.62886936
Motor Vehicle Theft,-84.443059,33.628943
Destruction/Damage/Vandalism of Property,-84.446558,33.629032
Destruction/Damage/Vandalism of Property,-84.431594,33.629218
Counterfeiting/Forgery,-84.552826,33.629823
Destruction/Damage/Vandalism of Property,-84.455968,33.63407
Destruction/Damage/Vandalism of Property,-84.455968,33.63407
Theft of Motor Vehicle Parts or Accessories,-84.455968,33.63407
Destruction/Damage/Vandalism of Property,-84.455968,33.63407
Destruction/Damage/Vandalism of Property,-84.455968,33.63407
False Pretenses/Swindle/Confidence Game,-84.455968,33.63407
Motor Vehicle Theft,-84.455968,33.63407
All Other Larceny,-84.455968,33.63407
Theft From Motor Vehicle,-84.455968,33.63407
Destruction/Damage/Vandalism of Property,-84.455968,33.63407
Destruction/Damage/Vandalism of Property,-84.455968,33.63407
All Other Larceny,-84.455968,33.63407
Destruction/Damage/Vandalism of Property,-84.455968,33.63407
False Pretenses/Swindle/Confidence Game,-84.467952,33.636158
Destruction/Damage/Vandalism of Property,-84.467952,33.636158
Motor Vehicle Theft,-84.467952,33.636158
All Other Larceny,-84.467952,33.636158
Motor Vehicle Theft,-84.467952,33.636158
Destruction/Damage/Vandalism of Property,-84.411277,33.637195
Destruction/Damage/Vandalism of Property,-84.404946,33.637211
Destruction/Damage/Vandalism of Property,-84.448758,33.637221
Destruction/Damage/Vandalism of Property,-84.44275791,33.6373578
Destruction/Damage/Vandalism of Property,-84.442758,33.637358
Destruction/Damage/Vandalism of Property,-84.442758,33.637358
Destruction/Damage/Vandalism of Property,-84.442758,33.637358
Destruction/Damage/Vandalism of Property,-84.442758,33.637358
Simple Assault,-84.429698,33.637475
All Other Larceny,-84.429698,33.637475
Simple Assault,-84.429698,33.637475
All Other Larceny,-84.429698,33.637475
All Other Larceny,-84.429698,33.637475
Simple Assault,-84.429698,33.637475
All Other Larceny,-84.429698,33.637475
Destruction/Damage/Vandalism of Property,-84.429698,33.637475
All Other Larceny,-84.429698,33.637475
All Other Larceny,-84.429698,33.637475
All Other Larceny,-84.429698,33.637475
All Other Larceny,-84.429698,33.637475
All Other Larceny,-84.429698,33.637475
Simple Assault,-84.429698,33.637475
Theft From Building,-84.429698,33.637475
