Street Name,From Street Name,To Street Name,Surface Distress Index,Roughness Index,Condition Rating
10TH ST,HAMPTON ST,CURRAN ST,44.5,91.95697523,Fair
10TH ST,HEMPHILL AVE,CENTER ST,22.655,45.69901794,Poor
10TH ST,FIELDER AVE,NORTHSIDE DR,10.695,36.04721337,Very Poor
10TH ST,PIEDMONT AVE,MYRTLE ST,75.37,88.99771176,Very Good
10TH ST,CENTER ST,HIRSCH ST,20.99,49.58878636,Poor
10TH ST,ATLANTIC DR,HOLLY ST,42.025,45.49468787,Poor
10TH ST,TECHWOOD DR,TECHWOOD DR,82.6,63.951,Very Good
10TH ST,WEST END,BRADY AVE,79.9,78.14045692,Very Good
10TH ST,WATKINS ST,FIELDER AVE,52.195,49.31470782,Marginal
10TH ST,TAFT AVE,CHARLES ALLEN DR,56.9,44.92581802,Marginal
10TH ST,IMAGE AVE,WATKINS ST,63.975,70.21091859,Good
10TH ST,HIRSCH ST,GREENFIELD ST,68.1,65.1003375,Good
10TH ST,HOWELL MILL RD,IMAGE AVE,69.6,64.08803202,Good
10TH ST,CHARLES ALLEN DR,MONROE DR,68.14,57.4363932,Fair
10TH ST,JUNIPER ST,PIEDMONT AVE,55.0,63.56782764,Fair
10TH ST,WILLIAMS ST,SPRING ST,92.2,77.5278,Excellent
10TH ST,SPRING ST,WEST PEACHTREE ST,70.38,51.46978391,Fair
10TH ST,TUMLIN ST,DALNEY ST,60.465,42.69246503,Marginal
10TH ST,MYRTLE ST,ARGONNE AVE,55.07,57.15565085,Fair
10TH ST,ARGONNE AVE,TAFT AVE,28.7,53.66967306,Poor
10TH ST,DOWNTOWN CONNECTOR,WILLIAMS ST,59.685,76.53874759,Good
10TH ST,CRESCENT AVE,PEACHTREE ST,86.0,67.3,Very Good
10TH ST,STATE ST,ATLANTIC DR,86.0,67.3,Very Good
10TH ST,GREENFIELD ST,TUMLIN ST,75.97,56.59995733,Good
10TH ST,PEACHTREE WALK,CRESCENT AVE,36.575,54.79901008,Poor
