NIBRS Code Name,Longitude,Latitude
Murder & Nonnegligent Manslaughter,-84.408028,33.678971
Theft From Motor Vehicle,-84.372064,33.850044
Theft From Motor Vehicle,-84.353466,33.813409
Destruction/Damage/Vandalism of Property,-84.365391,33.745893
Burglary/Breaking & Entering,-84.380597,33.873321
Aggravated Assault,-84.407213,33.75267
All Other Larceny,-84.424557,33.720608
Theft From Motor Vehicle,-84.425751,33.795789
Theft From Motor Vehicle,-84.412001,33.784502
Purse-snatching,-84.380381,33.782433
All Other Larceny,-84.318401,33.752985
Theft From Motor Vehicle,-84.354383,33.78183
Aggravated Assault,-84.352812,33.746309
Motor Vehicle Theft,-84.404565,33.740982
All Other Larceny,-84.395998,33.765661
Aggravated Assault,-84.408855,33.778168
Destruction/Damage/Vandalism of Property,-84.36584,33.775198
Theft From Motor Vehicle,-84.379988,33.736553
Destruction/Damage/Vandalism of Property,-84.362899,33.754141
Drug/Narcotic Violations,-84.362119,33.84676
Drug/Narcotic Violations,-84.380351,33.708305
Destruction/Damage/Vandalism of Property,-84.3758,33.83753
Burglary/Breaking & Entering,-84.484175,33.698718
Aggravated Assault,-84.473745,33.776316
Destruction/Damage/Vandalism of Property,-84.410827,33.726029
Theft of Motor Vehicle Parts or Accessories,-84.438141,33.804885
Burglary/Breaking & Entering,-84.350605,33.812843
Motor Vehicle Theft,-84.515217,33.759683
Destruction/Damage/Vandalism of Property,-84.425945,33.624279
Theft From Motor Vehicle,-84.510005,33.655138
Shoplifting,-84.396765,33.793708
Theft From Motor Vehicle,-84.41434,33.801156
Theft From Motor Vehicle,-84.360711,33.763283
Motor Vehicle Theft,-84.460297,33.784281
Destruction/Damage/Vandalism of Property,-84.460297,33.784281
Simple Assault,-84.475802,33.753854
Motor Vehicle Theft,-84.414009,33.732517
False Pretenses/Swindle/Confidence Game,-84.380255,33.841522
Shoplifting,-84.362279,33.846108
Weapon Law Violations,-84.366912,33.819882
Drug/Narcotic Violations,-84.366912,33.819882
All Other Larceny,-84.36989,33.778849
Simple Assault,-84.350833,33.818028
Theft From Motor Vehicle,-84.38385,33.775054
Theft From Building,-84.383143,33.761566
Motor Vehicle Theft,-84.392154,33.749052
Intimidation,-84.472883,33.788956
Burglary/Breaking & Entering,-84.386101,33.745527
All Other Larceny,-84.3736,33.6898
Drug/Narcotic Violations,-84.362501,33.819771
All Other Larceny,-84.364148,33.81987
Aggravated Assault,-84.475282,33.749882
Destruction/Damage/Vandalism of Property,-84.39262,33.81306
Drug/Narcotic Violations,-84.366949,33.82179
Simple Assault,-84.498847,33.695625
Burglary/Breaking & Entering,-84.501321,33.683879
Destruction/Damage/Vandalism of Property,-84.501321,33.683879
Drug/Narcotic Violations,-84.444368,33.640311
Motor Vehicle Theft,-84.415539,33.683256
Stolen Property Offenses,-84.383802,33.835102
Shoplifting,-84.383802,33.835102
Drug/Narcotic Violations,-84.383802,33.835102
Destruction/Damage/Vandalism of Property,-84.351699,33.762221
All Other Larceny,-84.367583,33.732355
Shoplifting,-84.396765,33.793708
Drug/Narcotic Violations,-84.509843,33.787145
Simple Assault,-84.393205,33.683699
Shoplifting,-84.389618,33.787026
Motor Vehicle Theft,-84.507113,33.744387
Theft From Motor Vehicle,-84.359513,33.798976
Simple Assault,-84.353026,33.815016
Embezzlement,-84.36259,33.699711
All Other Larceny,-84.430978,33.771519
Motor Vehicle Theft,-84.430978,33.771519
Simple Assault,-84.436235,33.762455
Motor Vehicle Theft,-84.506251,33.741491
Theft From Motor Vehicle,-84.506251,33.741491
Theft From Motor Vehicle,-84.382653,33.764044
Drug/Narcotic Violations,-84.402661,33.762524
Destruction/Damage/Vandalism of Property,-84.444368,33.640311
Simple Assault,-84.457149,33.706001
Shoplifting,-84.364817,33.771252
Impersonation,-84.331959,33.762199
Destruction/Damage/Vandalism of Property,-84.487922,33.800519
All Other Larceny,-84.367557,33.780628
Drug/Narcotic Violations,-84.378504,33.708568
Shoplifting,-84.352761,33.773705
Drug/Narcotic Violations,-84.364297,33.822661
Simple Assault,-84.378597,33.837323
Theft From Motor Vehicle,-84.360062,33.845641
Destruction/Damage/Vandalism of Property,-84.361578,33.747363
Simple Assault,-84.312046,33.747633
False Pretenses/Swindle/Confidence Game,-84.380256,33.841553
Credit Card/Automated Teller Machine Fraud,-84.380351,33.708305
Drug/Narcotic Violations,-84.427478,33.763242
Aggravated Assault,-84.45994,33.69999
Destruction/Damage/Vandalism of Property,-84.503357,33.758266
Destruction/Damage/Vandalism of Property,-84.388203,33.761874
False Pretenses/Swindle/Confidence Game,-84.383806,33.762722
Theft From Motor Vehicle,-84.384261,33.752353
Motor Vehicle Theft,-84.40735,33.782056
Motor Vehicle Theft,-84.392801,33.722873
Theft From Motor Vehicle,-84.432128,33.850151
Motor Vehicle Theft,-84.485354,33.692121
Destruction/Damage/Vandalism of Property,-84.47703,33.80003
Motor Vehicle Theft,-84.374272,33.76138
Theft From Motor Vehicle,-84.365782,33.759972
Theft From Motor Vehicle,-84.478378,33.815232
Motor Vehicle Theft,-84.369922,33.76761
Theft From Motor Vehicle,-84.352129,33.777533
Theft From Motor Vehicle,-84.363029,33.773903
Motor Vehicle Theft,-84.363029,33.773903
Drug/Narcotic Violations,-84.380532,33.785184
