,latitude,longitude
0,33.735553,-84.430861
1,33.735309,-84.430729
2,33.73755,-84.348065
3,33.737258,-84.348059
4,33.736401,-84.348081
5,33.735268,-84.348074
6,33.7346,-84.348133
7,33.733685,-84.348119
8,33.733031,-84.348113
9,33.732628,-84.348084
10,33.75652,-84.41383
11,33.735348,-84.397052
12,33.737845,-84.434864
13,33.73664,-84.432879
14,33.735989,-84.431802
15,33.734261,-84.428956
16,33.733604,-84.427915
17,33.733347,-84.427458
18,33.737676,-84.434607
19,33.737515,-84.434365
20,33.737358,-84.434051
21,33.736461,-84.432606
22,33.736287,-84.432332
23,33.736126,-84.432048
24,33.735806,-84.431539
25,33.735655,-84.431259
26,33.735125,-84.430441
27,33.734443,-84.429259
28,33.734086,-84.428661
29,33.73393,-84.428433
30,33.734792,-84.429836
31,33.735764,-84.339928
32,33.735387,-84.339952
33,33.734903,-84.339956
34,33.734299,-84.339971
35,33.733953,-84.340013
36,33.736212,-84.395827
37,33.768981,-84.367747
38,33.764041,-84.367782
39,33.735836,-84.427071
40,33.735813,-84.426131
41,33.737655,-84.426543
42,33.737091,-84.426534
43,33.736529,-84.426558
44,33.732261,-84.345852
45,33.732972,-84.34586
46,33.733623,-84.345833
47,33.734422,-84.345785
48,33.734966,-84.345834
49,33.735285,-84.345857
50,33.735577,-84.345855
51,33.735826,-84.345868
52,33.736166,-84.345845
53,33.736746,-84.345829
54,33.73731,-84.345828
55,33.732264,-84.41781
56,33.737647,-84.423327
57,33.736968,-84.423343
58,33.736729,-84.423342
59,33.735817,-84.423275
60,33.74142,-84.423289
61,33.74259,-84.423286
62,33.741093,-84.423295
63,33.740156999999996,-84.423309
64,33.739569,-84.42332
65,33.739344,-84.42332
66,33.736555,-84.423318
67,33.735358,-84.423365
68,33.734627,-84.423329
69,33.734027,-84.423315
70,33.742186,-84.423287
71,33.74202,-84.423302
72,33.758139,-84.412185
73,33.758011,-84.40646
74,33.758087,-84.405255
75,33.754916,-84.405492
76,33.740309,-84.384056
77,33.73482,-84.335681
78,33.734083,-84.33563
79,33.733439,-84.335636
80,33.732849,-84.335626
81,33.732234,-84.335631
82,33.731734,-84.335609
83,33.731041,-84.335584
84,33.735279,-84.344146
85,33.735543,-84.343337
86,33.736052,-84.341962
87,33.736124,-84.341806
88,33.76926,-84.367785
89,33.737572,-84.343808
90,33.737743,-84.343205
91,33.74084,-84.426432
92,33.740465,-84.429282
93,33.74068,-84.423276
94,33.740497,-84.432233
95,33.740497,-84.431393
96,33.740475,-84.430663
97,33.740496,-84.429972
98,33.740856,-84.426975
99,33.74083,-84.425888
100,33.740822,-84.425558
101,33.740826,-84.425298
102,33.740806,-84.424821
103,33.7408,-84.424298
104,33.740791,-84.423594
105,33.740747999999996,-84.422621
106,33.740787,-84.422242
107,33.740764,-84.421642
108,33.740763,-84.421338
109,33.736809,-84.435114
110,33.736797,-84.435736
111,33.735821,-84.424973
112,33.735814,-84.424685
113,33.735825,-84.42371
114,33.735829,-84.422853
115,33.735849,-84.422087
116,33.735849,-84.421212
117,33.735824,-84.42654
