Street Name,From Street Name,To Street Name,PCI,Surface Distress Index,Roughness Index,Condition Rating
FORMWALT ST,CRUMLEY ST,RICHARDSON ST,,57.085,68.45216722,Fair
PASCHAL BLVD,MITCHELL ST,MITCHELL ST,,65.85,69.3116035,Good
PELHAM ST,JOSEPH E LOWERY BLVD,LINDSAY ST,,88.44,69.34716,Very Good
SPRING ST,MITCHELL ST,MARTIN LUTHER KING JR DR,,47.51,58.28769928,Marginal
POPLAR ST,FORSYTH ST,FAIRLIE ST,,49.07,32.90323348,Poor
RALPH MCGILL BLVD NE,CENTRAL PARK PL NE,CENTRAL PARK PL NE,,40.385,45.41449173,Poor
JESSE HILL JR DR,JESSE HILL JR DR,JOHN WESLEY DOBBS AVE,,94.6,84.0222,Excellent
KNOTT ST,DANNER ST,GILBERT ST,31.0,21.9,48.44481347,Poor
THURMOND ST,WALNUT ST,GRIGGS ST,31.0,61.6,70.30227494,Fair
CONNALLY ST SE,GLENWOOD AVE SE,FULTON ST SE,,61.69,76.27578357,Good
ALSTON DR SE,GREEN AVE,DANIEL AVE,,72.93,62.91416425,Good
I-20 EB RAMP SW,WINDSOR ST SW,WINDSOR ST SW,,55.905,64.15277178,Fair
LINDEN AVE NE,BEDFORD PL NE,BEDFORD PL NE,,64.365,89.19490773,Good
CENTRAL AVE SW,HENDRIX AVE,PRYOR ST SW,,80.32,61.38144,Good
WESTVIEW DR SW,LANGHORN ST SW,LANGHORN ST SW,,80.9,62.05975,Good
PEACHTREE PL NW,SPRING ST NW,CENTENNIAL OLYMPIC P DR NW,,66.695,40.60842437,Fair
BISHOP ST NW,17TH ST NW,17TH ST NW,,82.9,68.08093309,Very Good
CURRIER ST NE,DEAD END,PARKWAY DR NE,,52.305,30.36192801,Marginal
CARLISLE ST NW,HOLLY ST NW,LANIER ST NW,,52.725,63.05117307,Fair
PALIFOX DR,DEKALB AVE,HOWARD CIR,58.0,60.4,35.61024264,Marginal
TILDEN ST,SOUTH END,FOSTER PL,60.0,46.835,37.63028001,Poor
NEWTON AVE,DORR AVE,BLAKE AVE,58.0,34.575,53.51003767,Poor
PINE OAK DR,BRENNAN LN,CLOVER ST,66.0,62.99,39.00330008,Fair
VINE ST,LESTER ST,FOUNDRY ST,60.0,29.575,35.9152473,Poor
POPE ST,WASHINGTON ST,CREW ST,38.0,35.385,62.84017446,Poor
LEWIS RD,KNOX DR,NW END,51.0,49.43,65.07022797,Marginal
PEARL ST,KIRKWOOD AVE,MARCUS ST,65.0,85.1,70.20390105,Very Good
GRIFFIN ST,NEAL ST,JETT ST,52.0,49.37,53.49510911,Marginal
DEKALB AVE,RIDGECREST RD,NE END,50.0,61.245,53.15719338,Fair
COVE TRL,LAKE COVE DR,NW END,43.0,57.6,60.38148361,Fair
ELM ST,SPENCER ST,THURMOND ST,54.0,54.47,59.15255642,Fair
PENN AVE,6TH ST,7TH ST,63.0,70.66,47.61111,Fair
CHARLES ALLEN DR,5TH ST,6TH ST,43.0,34.32,24.51404962,Poor
ARTHUR ST,WELCH ST,COLEMAN ST,73.0,66.595,41.95820522,Fair
MANGUM ST,CHAPEL ST,CHAPEL ST,69.0,51.355,23.5202506,Poor
CHURCH ST,RICE ST,CARR ST,74.0,68.42,43.75159,Fair
DEKALB AVE,JOSEPHINE ST,ELMIRA PL,23.0,59.99,73.46300715,Fair
HANK AARON DR,BASS ST,RALPH DAVID ABERNATHY BLVD,21.0,56.815,73.02964394,Fair
SHERIDAN RD,CHESHIRE BRIDGE RD,ELIZABETH ANN LN,10.0,66.705,57.39732593,Fair
ARTHUR ST,HOBSON ST,WELCH ST,54.0,58.375,59.28379632,Fair
LENOX RD,LENOX PKWY,KINGSBORO RD,14.0,29.585,48.99157859,Poor
MOUNT PARAN RD NW,MOUNT PARAN RD NW,SUMMER LN,24.0,86.62,67.84839,Very Good
MOUNT PARAN RD NW,MOUNT PARAN RD NW,SUMMER LN,24.0,86.62,67.84839,Very Good
FOUNDRY ST,GRAVES ST,WALNUT ST,21.0,62.285,36.97250329,Marginal
CAMPBELLTON RD,LORENZO DR,OLIVE ST,21.0,34.225,60.94628282,Poor
NISKEY LAKE RD SW,WELLPOINTE CIR,ORKNEY LN SW,20.0,61.44,53.80271622,Fair
CAMPBELLTON RD,GREENBRIAR PKWY,STAR MIST DR,24.0,58.43,63.35695143,Fair
CUMBERLAND CIR,CUMBERLAND RD,CUMBERLAND PL,24.0,69.19,56.69689416,Good
REY ST,SAM ST,PETE ST,22.0,70.5,47.34375,Fair
LINCOLN ST,WEST END,PRYOR RD,20.0,23.5,39.03784524,Very Poor
NORTH HIGHLAND AVE,VIRGINIA AVE,LOS ANGELES AVE,23.0,57.54,47.08904288,Marginal
CHESTER AVE,OLD FLAT SHOALS RD,MEMORIAL DR,24.0,46.635,28.4813144,Poor
HUNT ST,NORTH AVE,PONCE DE LEON AVE,24.0,73.88,70.19592351,Good
SPRING ST,3RD ST,4TH ST,22.0,62.02,57.38322665,Fair
DRUID CIR,DELTA PL,EUCLID AVE,28.0,23.3,38.27434435,Very Poor
PRYOR ST SW,RAWSON ST SW,ALICE ST,24.0,25.095,38.24083096,Very Poor
CUSTER AVE,WOODLAND AVE,SUMMER LN DR SE,21.0,23.375,29.25735302,Very Poor
AUSTIN AVE,EUCLID AVE,EUCLID AVE,13.0,50.52,39.34233355,Marginal
NEWMAN PL NW,EDWIN ST,MARGARET PL NW,11.0,4.66,23.42635595,Very Poor
EDEN AVE,ORMEWOOD TER,UNDERWOOD AVE,32.0,38.105,54.30541204,Poor
TONI PL,SUNRIDGE AVE,LINDA LN,27.0,60.01,59.2263183,Fair
ROSALIA ST,BOULEVARD,WALDO ST,23.0,38.745,64.19129888,Marginal
CAPITOL SQ,MITCHELL ST,CAPITOL PL,33.0,25.515,35.40579903,Very Poor
IVAN ALLEN JR BLVD,ALEXANDER ST,PEACHTREE ST,11.0,43.17,50.14923143,Marginal
CAMPBELLTON RD,DELOWE DR,CENTRA VILLA DR,24.0,86.4,71.89509356,Very Good
ALLEGRO DR,SYMPHONY LN,INDIGO LN,18.0,11.6,51.8621599,Very Poor
MEADOWLANE DR SW,MEADOWLANE PL SW,DEAD END,24.0,26.3,59.41278066,Poor
EDWARDS DR,RUTHERFORD ST,PAUL AVE,33.0,55.425,55.77331041,Fair
KANUGA ST,VIRGINIA AVE,MONROE DR,21.0,73.11,51.5451975,Good
LAW ST NW,DEAD END,BELTLINE,24.0,27.9,50.99224408,Poor
CORONET WAY,PINE GROVE DR,DEFOORS FERRY RD,33.0,94.0,82.62,Excellent
FILLMORE RD,WEST END,EISENHOWER CIR,30.0,39.105,56.7023463,Poor
EDISON GARDEN,WEST END,WEST ROXBORO RD,22.0,39.23,29.53809093,Poor
MONROE DR,SHERWOOD RD,PIEDMONT AVE,24.0,75.97,55.7579775,Good
WESTCHESTER BLVD,JOSEPH E BOONE BLVD,ILLINOIS AVE,15.0,42.655,53.89791566,Marginal
AVON AVE,SYLVAN RD,HARTFORD AVE,22.0,49.435,44.8191755,Marginal
ORMEWOOD TER,EMERSON AVE,ORMEWOOD AVE,31.0,71.36,48.76576,Fair
10TH ST,WEST END,BRADY AVE,32.0,79.9,78.14045692,Very Good
COLLIER DR,VALLEY HEART DR,WATERFORD RD,22.0,83.845,65.24439937,Very Good
GRIFFIN ST,ORR ST,JOSEPH E BOONE BLVD,26.0,49.935,58.69301342,Marginal
POLAND ST,CAIRO ST,NORFOLK ST,18.0,55.06,44.97492552,Marginal
STOVALL ST,FAITH AVE,SHERWOOD ST,34.0,77.02,57.20199,Good
MORLEY AVE,SCHUYLER AVE,HAMILTON AVE,26.0,38.945,30.45755742,Poor
MAYSON ST,ARMOUR PL,NORTH END,25.0,66.07,48.76689953,Fair
DANIEL RD,BLANTON AVE,BUTNER RD,14.0,81.9,63.18975,Very Good
DILBECK PL,ROSWELL RD,EAST END,19.0,7.305,38.31462517,Very Poor
